run,pctApp,pctTest,lockdown,schools,compliance,deaths,propInfected,mortality,days,tests,household,relations,friends,school,random,work
96,20,3,false,true,Low,221,39.032922610487034,0.55,281,52264,0.35,0.02,0.2,0.06,0.21,0.16
79,0,0.5,false,true,Low,273,46.85058498853344,0.57,264,12221,0.33,0.03,0.2,0.06,0.21,0.17
103,40,3,false,true,High,208,35.31212345007191,0.57,301,73320,0.36,0.02,0.19,0.06,0.2,0.16
86,20,0.5,false,true,High,273,45.25498503517705,0.59,287,14013,0.33,0.03,0.2,0.06,0.22,0.17
90,20,6,false,true,High,236,38.90368095774867,0.59,300,50964,0.35,0.02,0.19,0.06,0.21,0.16
80,0,1,false,true,Low,253,42.27368134644537,0.58,286,23073,0.34,0.03,0.2,0.06,0.21,0.17
99,40,0,false,true,High,327,48.05748824192483,0.66,265,0,0.33,0.03,0.2,0.06,0.22,0.17
82,0,3,false,true,Low,233,40.56633109184903,0.56,291,31187,0.34,0.02,0.2,0.06,0.21,0.17
36,40,0,false,true,Low,301,49.23135227581918,0.59,262,0,0.33,0.03,0.2,0.06,0.22,0.17
13,0,6,false,true,Low,254,41.63038830800326,0.59,314,32231,0.34,0.03,0.19,0.06,0.21,0.17
51,60,0.5,false,true,Low,226,39.654837330431064,0.55,305,16013,0.35,0.03,0.19,0.06,0.21,0.16
43,60,0,false,true,High,256,43.93730322229564,0.57,313,0,0.34,0.03,0.19,0.06,0.21,0.17
65,80,0.5,false,true,Low,187,33.82633031445563,0.54,342,21386,0.37,0.03,0.18,0.07,0.2,0.15
92,20,0,false,true,Low,322,50.49461655070549,0.62,270,0,0.33,0.03,0.2,0.05,0.22,0.17
66,80,1,false,true,Low,146,31.261903836436428,0.45,342,40850,0.37,0.02,0.18,0.07,0.21,0.15
53,60,1.5,false,true,Low,176,33.98958292844094,0.5,348,49762,0.36,0.03,0.19,0.07,0.2,0.16
40,40,3,false,true,Low,202,36.622031328954016,0.54,378,80064,0.36,0.02,0.19,0.06,0.21,0.16
46,60,1.5,false,true,High,202,33.182065534263614,0.59,339,55676,0.36,0.02,0.18,0.07,0.21,0.15
44,60,0.5,false,true,High,200,35.718311501535354,0.54,397,19661,0.36,0.02,0.18,0.07,0.21,0.16
28,20,100,false,true,Low,210,38.47417110428732,0.53,307,51410,0.35,0.02,0.19,0.06,0.21,0.17
29,40,0,false,true,High,311,47.71251992070587,0.63,295,0,0.33,0.03,0.2,0.05,0.22,0.17
94,20,1,false,true,Low,290,42.35919462043768,0.67,305,24919,0.34,0.03,0.2,0.06,0.21,0.17
87,20,1,false,true,High,247,41.759629960741634,0.57,313,24734,0.34,0.03,0.19,0.06,0.21,0.17
15,20,0,false,true,High,341,49.93683678625568,0.66,302,0,0.33,0.03,0.2,0.06,0.22,0.17
93,20,0.5,false,true,Low,281,46.96136354802348,0.58,307,12730,0.33,0.03,0.2,0.06,0.22,0.17
8,0,0,false,true,Low,361,51.810354880087075,0.68,297,0,0.32,0.03,0.2,0.05,0.22,0.18
81,0,1.5,false,true,Low,225,41.141602207797256,0.53,318,31584,0.34,0.02,0.2,0.06,0.21,0.17
83,0,6,false,true,Low,273,41.49920317176507,0.64,322,32196,0.34,0.03,0.19,0.06,0.21,0.17
30,40,0.5,false,true,High,235,40.75970770008163,0.56,326,16245,0.35,0.03,0.19,0.06,0.21,0.16
52,60,1,false,true,Low,204,34.619271582384265,0.57,350,32015,0.36,0.02,0.19,0.06,0.2,0.15
10,0,1,false,true,Low,278,42.81688498464648,0.63,363,23722,0.34,0.03,0.2,0.06,0.21,0.17
32,40,1.5,false,true,High,180,36.565670307459094,0.48,379,42607,0.35,0.02,0.18,0.06,0.21,0.16
34,40,6,false,true,High,207,35.74357678703308,0.56,351,102032,0.36,0.03,0.19,0.07,0.2,0.16
101,40,1,false,true,High,209,36.74738601469274,0.55,340,32066,0.35,0.02,0.19,0.06,0.2,0.16
42,40,100,false,true,Low,192,36.04967543825553,0.52,356,107843,0.36,0.03,0.19,0.07,0.21,0.16
98,20,100,false,true,Low,225,39.84918568041358,0.55,334,53326,0.35,0.03,0.2,0.06,0.21,0.16
100,40,0.5,false,true,High,226,41.61289695650484,0.53,347,16323,0.35,0.03,0.19,0.06,0.21,0.16
67,80,1.5,false,true,Low,173,30.41746025576243,0.55,395,56216,0.37,0.03,0.18,0.07,0.21,0.15
41,40,6,false,true,Low,182,34.83499825086485,0.51,335,105370,0.36,0.03,0.19,0.07,0.21,0.15
24,20,1,false,true,Low,271,42.27270960469546,0.62,318,25372,0.34,0.03,0.19,0.06,0.21,0.17
25,20,1.5,false,true,Low,264,40.53232013060209,0.63,354,35870,0.35,0.03,0.19,0.06,0.22,0.16
21,20,100,false,true,High,220,38.70544564076651,0.55,344,51107,0.35,0.02,0.19,0.06,0.21,0.16
88,20,1.5,false,true,High,226,40.377813192366,0.54,352,36306,0.35,0.03,0.19,0.06,0.21,0.16
26,20,3,false,true,Low,252,39.91526411940763,0.61,351,53264,0.35,0.03,0.19,0.06,0.21,0.16
18,20,1.5,false,true,High,258,39.5955610836864,0.63,342,38120,0.35,0.03,0.19,0.06,0.21,0.16
85,20,0,false,true,High,336,50.371205348466596,0.65,320,0,0.32,0.03,0.2,0.05,0.22,0.17
84,0,100,false,true,Low,240,41.07163680180355,0.57,334,31802,0.35,0.02,0.19,0.06,0.22,0.16
58,80,0.5,false,true,High,144,28.7188556769153,0.49,377,22060,0.37,0.02,0.18,0.07,0.21,0.15
102,40,1.5,false,true,High,217,37.55101644187041,0.56,387,44303,0.35,0.02,0.19,0.06,0.21,0.16
33,40,3,false,true,High,216,35.195514440082405,0.6,357,78517,0.36,0.02,0.19,0.06,0.2,0.16
64,80,0,false,true,Low,278,42.811054534147004,0.63,328,0,0.34,0.03,0.19,0.06,0.21,0.16
57,80,0,false,true,High,223,40.07851673339293,0.54,367,0,0.35,0.03,0.19,0.06,0.21,0.16
50,60,0,false,true,Low,297,46.73300423679403,0.62,338,0,0.34,0.03,0.2,0.06,0.21,0.16
47,60,3,false,true,High,176,30.660395693240567,0.56,409,96507,0.37,0.03,0.18,0.07,0.21,0.15
12,0,3,false,true,Low,256,41.40980293077312,0.6,399,32168,0.34,0.03,0.2,0.06,0.21,0.16
49,60,100,false,true,High,157,29.487503401096127,0.52,432,158970,0.37,0.02,0.18,0.07,0.2,0.15
55,60,6,false,true,Low,167,30.862517977222375,0.53,405,164072,0.37,0.02,0.18,0.07,0.2,0.15
59,80,1,false,true,High,151,29.19209390912271,0.5,402,49591,0.37,0.02,0.18,0.07,0.2,0.15
68,80,3,false,true,Low,169,30.248377191277648,0.54,437,106930,0.37,0.02,0.18,0.07,0.2,0.15
60,80,1.5,false,true,High,132,28.532281260932095,0.45,452,61668,0.38,0.02,0.18,0.07,0.21,0.14
48,60,6,false,true,High,142,29.84899133206359,0.46,424,160626,0.37,0.03,0.18,0.07,0.2,0.15
56,60,100,false,true,Low,149,31.244412484938007,0.46,450,178786,0.37,0.02,0.18,0.06,0.21,0.15
89,20,3,false,true,High,261,39.65289384693124,0.64,400,51674,0.35,0.02,0.2,0.06,0.21,0.16
35,40,100,false,true,High,207,34.783495938119486,0.58,456,99312,0.36,0.02,0.19,0.06,0.21,0.16
104,40,6,false,true,High,180,34.51626695689354,0.51,487,98317,0.36,0.03,0.19,0.06,0.21,0.16
69,80,6,false,true,Low,117,26.331286197380184,0.43,470,196004,0.38,0.02,0.18,0.07,0.2,0.14
54,60,3,false,true,Low,160,33.86519998445213,0.46,475,90978,0.36,0.02,0.19,0.07,0.21,0.15
63,80,100,false,true,High,111,23.744509659112996,0.45,478,207518,0.38,0.02,0.17,0.08,0.21,0.14
70,80,100,false,true,Low,98,25.00971741749913,0.38,528,234666,0.38,0.02,0.17,0.08,0.2,0.15
62,80,6,false,true,High,91,23.06720565942395,0.38,527,186475,0.38,0.02,0.17,0.08,0.2,0.14
109,40,1.5,false,true,Low,242,37.45092704162942,0.63,294,41783,0.35,0.03,0.19,0.06,0.21,0.16
163,20,0.5,false,true,Low,279,46.78742177478913,0.58,247,13119,0.33,0.03,0.2,0.05,0.22,0.17
115,60,1,false,true,High,171,34.226687915419596,0.49,330,36119,0.37,0.02,0.18,0.07,0.2,0.15
108,40,1,false,true,Low,228,38.633536751272985,0.57,333,30862,0.35,0.02,0.19,0.06,0.21,0.16
61,80,3,false,true,High,128,27.27290395304544,0.46,653,111301,0.38,0.02,0.18,0.07,0.2,0.15
117,60,3,false,true,High,149,31.20845804019124,0.46,371,101296,0.37,0.02,0.18,0.07,0.21,0.15
120,60,0,false,true,Low,302,46.59210168305671,0.63,267,0,0.33,0.03,0.2,0.06,0.22,0.17
119,60,100,false,true,High,142,29.487503401096127,0.47,375,157090,0.37,0.02,0.18,0.07,0.2,0.14
116,60,1.5,false,true,High,171,32.248221712597655,0.52,355,54081,0.36,0.03,0.18,0.07,0.2,0.15
111,40,6,false,true,Low,175,35.388891048315,0.48,391,106598,0.36,0.02,0.19,0.07,0.21,0.15
149,0,0.5,false,true,Low,277,46.624169160803824,0.58,254,12005,0.33,0.03,0.2,0.06,0.21,0.17
110,40,3,false,true,Low,203,36.18960625024293,0.55,381,80614,0.36,0.03,0.19,0.07,0.21,0.16
130,80,1.5,false,true,High,135,26.58685427760718,0.49,347,58458,0.38,0.02,0.18,0.08,0.2,0.14
164,20,1,false,true,Low,259,41.932599992226066,0.6,316,25262,0.34,0.02,0.2,0.06,0.21,0.17
113,60,0,false,true,High,284,43.734209196563924,0.63,329,0,0.34,0.03,0.19,0.06,0.21,0.17
155,20,0,false,true,High,375,50.066078438994055,0.73,263,0,0.32,0.03,0.2,0.06,0.21,0.17
152,0,3,false,true,Low,242,40.79954911182804,0.58,286,31657,0.34,0.03,0.19,0.06,0.21,0.17
153,0,6,false,true,Low,262,42.35044894468846,0.6,311,32879,0.34,0.03,0.2,0.06,0.21,0.16
150,0,1,false,true,Low,272,42.38057293893575,0.62,272,23522,0.34,0.03,0.19,0.06,0.21,0.17
148,0,0,false,true,Low,358,51.4488669491196,0.68,268,0,0.32,0.03,0.2,0.05,0.22,0.18
129,80,1,false,true,High,138,27.819022816496286,0.48,402,42819,0.37,0.03,0.18,0.07,0.2,0.14
121,60,0.5,false,true,Low,257,38.54024954328138,0.65,315,17326,0.35,0.03,0.19,0.06,0.21,0.16
162,20,0,false,true,Low,339,51.03004625490729,0.65,248,0,0.33,0.03,0.2,0.05,0.22,0.17
178,40,1,false,true,Low,238,39.38955183270494,0.59,280,29133,0.35,0.03,0.19,0.06,0.21,0.16
154,0,100,false,true,Low,269,41.15617833404595,0.64,290,31717,0.35,0.02,0.19,0.06,0.21,0.17
151,0,1.5,false,true,Low,244,41.62747308275353,0.57,303,32153,0.34,0.02,0.19,0.06,0.21,0.17
134,80,0,false,true,Low,286,43.177401173864034,0.64,303,0,0.34,0.03,0.2,0.06,0.21,0.16
170,40,0.5,false,true,High,232,41.22711548178956,0.55,283,16078,0.35,0.03,0.19,0.06,0.21,0.16
183,60,0,false,true,High,281,44.22299529676993,0.62,270,0,0.34,0.03,0.2,0.06,0.21,0.16
165,20,1.5,false,true,Low,245,39.79088117541882,0.6,299,34864,0.35,0.02,0.2,0.06,0.21,0.16
124,60,3,false,true,Low,192,33.823415089205895,0.55,372,93819,0.36,0.02,0.19,0.07,0.21,0.15
114,60,0.5,false,true,High,237,36.038986279006494,0.64,389,19660,0.36,0.03,0.19,0.06,0.2,0.16
138,80,3,false,true,Low,163,29.47487075834726,0.54,395,114145,0.37,0.02,0.18,0.07,0.2,0.15
177,40,0.5,false,true,Low,258,42.76246744665138,0.59,285,15980,0.34,0.03,0.2,0.06,0.21,0.16
122,60,1,false,true,Low,209,34.623158549383916,0.59,387,35486,0.36,0.02,0.19,0.06,0.2,0.16
176,40,0,false,true,Low,307,48.72896179111439,0.61,261,0,0.33,0.03,0.2,0.05,0.22,0.17
168,20,100,false,true,Low,228,39.03389435223695,0.57,340,53123,0.35,0.03,0.19,0.06,0.21,0.16
126,60,100,false,true,Low,158,31.035488008706807,0.49,403,179245,0.37,0.02,0.18,0.07,0.2,0.15
123,60,1.5,false,true,Low,187,33.47941850973685,0.54,406,55298,0.36,0.03,0.19,0.07,0.21,0.16
156,20,0.5,false,true,High,260,45.42795506666148,0.56,335,13258,0.34,0.03,0.2,0.06,0.22,0.17
184,60,0.5,false,true,High,201,35.935009911765846,0.54,347,19868,0.36,0.03,0.19,0.06,0.21,0.16
179,40,1.5,false,true,Low,223,37.896956504839274,0.57,296,43350,0.35,0.03,0.19,0.06,0.21,0.16
160,20,6,false,true,High,225,39.77533330742022,0.55,308,51872,0.35,0.02,0.19,0.06,0.21,0.17
125,60,6,false,true,Low,129,29.816923854316478,0.42,410,166386,0.37,0.02,0.18,0.07,0.2,0.15
112,40,100,false,true,Low,181,35.55020017880048,0.49,399,106580,0.36,0.02,0.19,0.07,0.21,0.16
169,40,0,false,true,High,286,47.144050997007035,0.59,288,0,0.33,0.03,0.19,0.06,0.22,0.17
186,60,1.5,false,true,High,188,31.852722820383256,0.57,355,52191,0.37,0.02,0.19,0.07,0.2,0.15
128,80,0.5,false,true,High,149,30.26198157577642,0.48,415,26146,0.37,0.03,0.18,0.07,0.2,0.15
157,20,1,false,true,High,233,40.56633109184903,0.56,370,25091,0.34,0.02,0.19,0.06,0.22,0.17
140,80,100,false,true,Low,116,24.031173475337194,0.47,439,219166,0.38,0.02,0.18,0.08,0.2,0.14
131,80,3,false,true,High,127,26.076689858903094,0.47,457,117990,0.38,0.02,0.18,0.08,0.2,0.14
137,80,1.5,false,true,Low,163,31.884790298130365,0.5,412,61466,0.37,0.02,0.18,0.07,0.2,0.16
135,80,0.5,false,true,Low,196,35.37237143856649,0.54,412,22261,0.36,0.03,0.19,0.07,0.21,0.16
161,20,100,false,true,High,213,39.32930384421036,0.53,332,52873,0.35,0.03,0.19,0.06,0.21,0.17
172,40,1.5,false,true,High,178,36.745442531192914,0.47,344,42397,0.35,0.03,0.19,0.06,0.21,0.16
175,40,100,false,true,High,211,34.76697632837097,0.59,354,99203,0.36,0.02,0.18,0.07,0.21,0.16
171,40,1,false,true,High,207,36.66867493294982,0.55,330,31421,0.35,0.02,0.19,0.06,0.21,0.16
159,20,3,false,true,High,204,38.34395770979904,0.52,317,50549,0.35,0.02,0.19,0.06,0.21,0.17
166,20,3,false,true,Low,229,38.60049753177596,0.58,364,52592,0.35,0.02,0.19,0.06,0.21,0.16
180,40,3,false,true,Low,201,37.562677342869364,0.52,341,78705,0.36,0.03,0.19,0.07,0.21,0.16
182,40,100,false,true,Low,199,35.7066506005364,0.54,338,106926,0.36,0.03,0.19,0.06,0.2,0.16
167,20,6,false,true,Low,247,39.8122594939169,0.6,354,53680,0.35,0.03,0.2,0.06,0.21,0.16
190,60,0,false,true,Low,285,46.58432774905741,0.59,275,0,0.33,0.03,0.2,0.06,0.22,0.17
192,60,1,false,true,Low,196,35.47246083880748,0.54,329,34011,0.35,0.03,0.19,0.07,0.21,0.16
118,60,6,false,true,High,158,30.118163796789364,0.51,515,165419,0.37,0.03,0.18,0.07,0.2,0.15
191,60,0.5,false,true,Low,259,39.3244451354608,0.64,320,16183,0.35,0.03,0.2,0.06,0.21,0.16
181,40,6,false,true,Low,178,34.730050141874294,0.5,380,103596,0.36,0.02,0.19,0.07,0.21,0.15
200,80,1.5,false,true,High,143,27.733509542503988,0.5,386,64060,0.37,0.02,0.18,0.07,0.21,0.15
185,60,1,false,true,High,172,31.73611381039375,0.53,390,38055,0.36,0.03,0.18,0.07,0.21,0.15
174,40,6,false,true,High,219,35.02740311734753,0.61,413,100042,0.36,0.02,0.19,0.06,0.21,0.16
127,80,0,false,true,High,277,39.71508531892564,0.68,489,0,0.35,0.03,0.19,0.06,0.21,0.16
198,80,0.5,false,true,High,175,30.66233917674039,0.55,394,23403,0.37,0.03,0.18,0.07,0.2,0.15
136,80,1,false,true,Low,156,32.02957981886734,0.47,462,41905,0.37,0.02,0.18,0.07,0.21,0.15
158,20,1.5,false,true,High,224,39.87736619116104,0.55,429,37101,0.34,0.03,0.19,0.06,0.21,0.17
173,40,3,false,true,High,217,36.43837213822055,0.58,418,79693,0.36,0.03,0.18,0.06,0.21,0.16
204,80,0,false,true,Low,270,42.60796050841528,0.62,320,0,0.35,0.03,0.19,0.06,0.21,0.16
139,80,6,false,true,Low,138,26.446923465619776,0.51,483,192608,0.38,0.02,0.18,0.07,0.2,0.14
195,60,6,false,true,Low,163,30.43689509076068,0.52,405,166731,0.36,0.02,0.18,0.07,0.2,0.15
132,80,6,false,true,High,127,25.297352975473235,0.49,526,209303,0.38,0.02,0.17,0.07,0.21,0.14
194,60,3,false,true,Low,208,34.328720799160415,0.59,402,95128,0.36,0.02,0.19,0.06,0.21,0.15
188,60,6,false,true,High,155,29.655614723830993,0.51,425,159534,0.37,0.02,0.18,0.07,0.2,0.15
197,80,0,false,true,High,230,39.793796400668555,0.56,382,0,0.35,0.03,0.2,0.06,0.2,0.16
202,80,6,false,true,High,104,23.899988339099,0.42,444,193829,0.38,0.02,0.17,0.08,0.21,0.14
201,80,3,false,true,High,131,26.760796050841527,0.48,439,107343,0.38,0.02,0.17,0.08,0.2,0.15
193,60,1.5,false,true,Low,176,33.54452520698099,0.51,432,51792,0.36,0.02,0.19,0.07,0.21,0.15
205,80,0.5,false,true,Low,195,34.49586038014537,0.55,393,21707,0.37,0.03,0.19,0.07,0.2,0.15
207,80,1.5,false,true,Low,165,31.309519182182143,0.51,382,59294,0.37,0.02,0.19,0.07,0.21,0.15
187,60,3,false,true,High,185,31.110312123450072,0.58,539,95886,0.37,0.03,0.18,0.07,0.2,0.15
218,0,0,false,true,Low,365,51.34391884012904,0.69,244,0,0.32,0.03,0.2,0.05,0.22,0.18
203,80,100,false,true,High,113,23.18478641116337,0.47,470,196141,0.38,0.02,0.17,0.08,0.2,0.14
210,80,100,false,true,Low,105,24.280911105064718,0.42,447,220988,0.38,0.02,0.17,0.08,0.19,0.14
222,0,3,false,true,Low,251,41.31457223928169,0.59,312,32480,0.34,0.02,0.2,0.06,0.21,0.16
219,0,0.5,false,true,Low,287,47.466669257978,0.59,252,12352,0.33,0.03,0.2,0.06,0.21,0.17
234,20,1,false,true,Low,234,41.80724530648735,0.54,261,25157,0.35,0.02,0.19,0.06,0.21,0.17
220,0,1,false,true,Low,244,42.13180705095814,0.56,301,23776,0.34,0.03,0.2,0.06,0.21,0.17
133,80,100,false,true,High,103,24.02242779958798,0.42,672,207404,0.39,0.02,0.17,0.08,0.2,0.14
199,80,1,false,true,High,128,27.69561161425739,0.45,550,47869,0.37,0.02,0.18,0.07,0.21,0.14
225,20,0,false,true,High,343,49.886306215260234,0.67,293,0,0.32,0.03,0.2,0.05,0.22,0.17
189,60,100,false,true,High,164,29.799432502818053,0.53,591,161994,0.37,0.03,0.18,0.07,0.2,0.15
206,80,1,false,true,Low,192,32.67870330780892,0.57,510,44603,0.37,0.03,0.18,0.07,0.21,0.15
224,0,100,false,true,Low,216,41.053173708555214,0.51,322,31817,0.34,0.02,0.2,0.06,0.21,0.17
237,20,6,false,true,Low,208,39.06401834648424,0.52,283,52575,0.35,0.03,0.19,0.06,0.21,0.16
221,0,1.5,false,true,Low,268,41.30971353053213,0.63,419,31715,0.35,0.03,0.19,0.06,0.21,0.17
226,20,0.5,false,true,High,284,45.11796944843938,0.61,280,13901,0.33,0.03,0.19,0.06,0.21,0.17
240,40,0.5,false,true,High,265,40.27578030862518,0.64,266,15227,0.35,0.03,0.19,0.06,0.21,0.16
229,20,3,false,true,High,250,39.53434135344191,0.61,320,52564,0.35,0.02,0.19,0.06,0.22,0.16
236,20,3,false,true,Low,227,39.69176351692774,0.56,278,53190,0.35,0.03,0.19,0.06,0.21,0.16
239,40,0,false,true,High,302,46.70968243479613,0.63,265,0,0.33,0.03,0.2,0.06,0.22,0.17
227,20,1,false,true,High,236,40.833560073074985,0.56,301,25615,0.35,0.03,0.19,0.06,0.22,0.16
233,20,0.5,false,true,Low,297,47.13433357950791,0.61,286,13399,0.33,0.03,0.2,0.06,0.21,0.17
209,80,6,false,true,Low,136,24.628794651533408,0.54,448,191878,0.38,0.02,0.17,0.08,0.2,0.15
232,20,0,false,true,Low,325,51.063085474404325,0.62,248,0,0.32,0.03,0.21,0.05,0.22,0.17
208,80,3,false,true,Low,155,29.18431997512341,0.52,431,109474,0.37,0.02,0.18,0.07,0.2,0.15
291,0,1.5,false,true,Low,228,40.26314766587632,0.55,272,31023,0.34,0.03,0.19,0.06,0.21,0.17
246,40,0,false,true,Low,308,49.66572083803008,0.6,247,0,0.33,0.03,0.2,0.05,0.22,0.17
223,0,6,false,true,Low,244,41.382594161775565,0.57,392,31772,0.35,0.03,0.19,0.06,0.21,0.17
241,40,1,false,true,High,206,36.71143156994597,0.55,323,33193,0.36,0.03,0.19,0.06,0.21,0.16
247,40,0.5,false,true,Low,274,42.21829206670035,0.63,272,15201,0.35,0.03,0.19,0.06,0.21,0.16
238,20,100,false,true,Low,242,39.95121856415439,0.59,323,54431,0.34,0.03,0.19,0.06,0.21,0.16
248,40,1,false,true,Low,253,39.26516888871613,0.63,310,29869,0.35,0.02,0.19,0.06,0.21,0.16
245,40,100,false,true,High,191,35.3033777743227,0.53,329,99755,0.36,0.03,0.18,0.06,0.21,0.16
292,0,3,false,true,Low,269,40.72472499708478,0.64,265,31633,0.34,0.03,0.19,0.06,0.22,0.17
228,20,1.5,false,true,High,276,40.1066972441404,0.67,371,35878,0.35,0.03,0.19,0.06,0.21,0.16
259,60,100,false,true,High,172,28.801453725657872,0.58,382,153397,0.37,0.02,0.18,0.07,0.2,0.15
267,80,0,false,true,High,225,39.815174719166635,0.55,347,0,0.35,0.03,0.19,0.06,0.21,0.16
231,20,100,false,true,High,235,39.637345978932636,0.58,366,52502,0.35,0.03,0.19,0.06,0.21,0.16
196,60,100,false,true,Low,161,30.470906052007617,0.51,626,172085,0.37,0.02,0.18,0.07,0.2,0.15
257,60,3,false,true,High,176,31.291056088933804,0.55,400,97222,0.37,0.03,0.18,0.07,0.2,0.15
290,0,1,false,true,Low,251,42.525362459672714,0.57,267,23072,0.35,0.03,0.2,0.06,0.21,0.16
235,20,1.5,false,true,Low,245,40.00466436039958,0.6,345,37255,0.35,0.03,0.19,0.06,0.21,0.17
242,40,1.5,false,true,High,209,36.55400940646014,0.56,334,43309,0.35,0.03,0.19,0.06,0.21,0.16
255,60,1,false,true,High,180,32.27057177284565,0.54,341,36998,0.36,0.03,0.18,0.07,0.21,0.15
296,20,0.5,false,true,High,297,45.22874800792941,0.64,287,13625,0.33,0.03,0.2,0.06,0.21,0.17
293,0,6,false,true,Low,267,41.58471644575737,0.62,307,32216,0.34,0.03,0.19,0.06,0.21,0.17
249,40,1.5,false,true,Low,253,38.640338943522366,0.64,355,41635,0.35,0.03,0.19,0.06,0.21,0.16
295,20,0,false,true,High,321,50.27208768997551,0.62,266,0,0.33,0.03,0.2,0.05,0.22,0.17
263,60,1.5,false,true,Low,167,35.0944532980915,0.46,316,48202,0.36,0.03,0.19,0.07,0.2,0.16
294,0,100,false,true,Low,274,40.96377346756326,0.65,300,32011,0.34,0.03,0.2,0.06,0.21,0.17
256,60,1.5,false,true,High,187,33.64461460722198,0.54,316,51291,0.36,0.02,0.19,0.07,0.21,0.15
230,20,6,false,true,High,231,39.269055855715784,0.57,373,51258,0.35,0.03,0.19,0.06,0.21,0.16
275,80,0.5,false,true,Low,186,34.03136782368718,0.53,326,18510,0.36,0.03,0.19,0.06,0.21,0.15
252,40,100,false,true,Low,226,36.20904108524118,0.61,442,108847,0.36,0.02,0.19,0.06,0.21,0.16
269,80,1,false,true,High,141,27.72184864150503,0.49,446,43477,0.38,0.03,0.18,0.07,0.19,0.14
268,80,0.5,false,true,High,149,29.738212772573565,0.49,445,23175,0.37,0.03,0.18,0.07,0.21,0.15
289,0,0.5,false,true,Low,292,45.99253702336067,0.62,262,12623,0.33,0.03,0.2,0.05,0.22,0.17
298,20,1.5,false,true,High,253,39.01931822598826,0.63,350,34949,0.35,0.03,0.19,0.06,0.21,0.16
253,60,0,false,true,High,285,43.72449177906479,0.63,342,0,0.34,0.03,0.2,0.06,0.21,0.16
278,80,3,false,true,Low,141,28.791736308158743,0.48,361,107135,0.37,0.03,0.18,0.07,0.2,0.15
260,60,0,false,true,Low,313,45.56691413689898,0.67,325,0,0.33,0.03,0.2,0.06,0.21,0.17
301,20,100,false,true,High,230,39.307925525712285,0.57,326,51181,0.35,0.02,0.19,0.06,0.21,0.16
254,60,0.5,false,true,High,225,34.20433785517161,0.64,349,19296,0.36,0.03,0.19,0.07,0.21,0.15
303,20,0.5,false,true,Low,278,46.49298402456563,0.58,271,13336,0.33,0.03,0.2,0.06,0.21,0.17
261,60,0.5,false,true,Low,231,38.70836086601624,0.58,329,17937,0.35,0.03,0.19,0.06,0.21,0.15
305,20,1.5,false,true,Low,225,40.304932561122556,0.54,287,35561,0.35,0.02,0.19,0.06,0.21,0.16
264,60,3,false,true,Low,170,32.34053717883935,0.51,340,87008,0.36,0.02,0.19,0.07,0.2,0.15
